VPN,BARCODE,MARIA TASH,DEPT,WCID,ITEM_DESC
ESC15D-RG,2201100613352,194515129476,6321,6321x506080xesc15drg,1.5mm Scalloped Set Diamond Stud
ESC2BKD-WG,2201100613369,194515129643,6321,6321x506080xesc2bkdwg,2mm Black Diamond Scalloped Set Stud
ESC2BKD-YG,2201100613376,194515129650,6321,6321x506080xesc2bkdyg,2mm Black Diamond Scalloped Set Stud
ESC2BKD-RG,2201100613383,194515129636,6321,6321x506080xesc2bkdrg,2mm Black Diamond Scalloped Set Stud
ESC2D-WG,2201100613390,194515129674,6321,6321x506080xesc2dwg,2mm Scalloped Set Diamond Stud
ESC2D-YG,2201100613406,194515129681,6321,6321x506080xesc2dyg,2mm Scalloped Set Diamond Stud
ESC2D-RG,2201100613413,194515129667,6321,6321x506080xesc2drg,2mm Scalloped Set Diamond Stud
ESC3D-WG,2201100613420,194515129834,6321,6321x506080xesc3dwg,3mm Scalloped Set Diamond Stud
ESC3D-YG,2201100613437,194515129841,6321,6321x506080xesc3dyg,3mm Scalloped Set Diamond Stud
ESC3D-RG,2201100613444,194515129827,6321,6321x506080xesc3drg,3mm Scalloped Set Diamond Stud
ESTAR-WG,2201100613451,194515012099,6321,6321x506080xestarwg,Plain Star Stud
ESTAR-YG,2201100613468,194515012105,6321,6321x506080xestaryg,Plain Star Stud
ESTAR-RG,2201100613475,194515012082,6321,6321x506080xestarrg,Plain Star Stud
ESTAR45DWHITE GOLD,2201100613482,194515012136,6321,6321x506080xestar45dwg,4.5MM DIAMOND STAR EARSTUD WHITE GOLD
ESTAR45DYELLOW GOLD,2201100613499,194515012143,6321,6321x506080xestar45dyg,4.5MM DIAMOND STAR EARSTUD YELLOW GOLD
ESTAR55D-WG,2201100613512,194515012174,6321,6321x506080xestar55dwg,5.5mm Diamond Star Stud
ESTAR55D-YG,2201100613529,194515012181,6321,6321x506080xestar55dyg,5.5mm Diamond Star Stud
ESTAR55D-RG,2201100613536,194515012167,6321,6321x506080xestar55drg,5.5mm Diamond Star Stud
P3OP-WG-12,2201100613543,194515109614,6321,6321x506080xp3opwg12w,12mm 3mm Opal Nipple Bar
P3OP-WG-12,2201100613550,194515109638,6321,6321x506080xp3opwg12y,12mm 3mm Opal Nipple Bar
P3OP-WG-12,2201100613567,194515109652,6321,6321x506080xp3opwg12r,12mm 3mm Opal Nipple Bar
P3OP-WG-14,2201100613574,194515109621,6321,6321x506080xp3opwg14,14mm 3mm Opal Nipple Bar
P3OP-WG-14,2201100613581,194515109645,6321,6321x506080xp3opyg14,14mm 3mm Opal Nipple Bar
P3OP-WG-14,2201100613598,194515109669,6321,6321x506080xp3oprg14,14mm 3mm Opal Nipple Bar
PB4-WG-12,2201100613604,194515110894,6321,6321x506080xpb4wg12w,12mm 4mm Gold Ball Nipple Bar
PB4-WG-12,2201100613611,194515110917,6321,6321x506080xpb4wg12y,12mm 4mm Gold Ball Nipple Bar
PB4-WG-12,2201100613628,194515110931,6321,6321x506080xpb4wg12r,12mm 4mm Gold Ball Nipple Bar
PB4-WG-14,2201100613635,194515110900,6321,6321x506080xpb4wg14w,14mm 4mm Gold Ball Nipple Bar
PB4-WG-14,2201100613642,194515110924,6321,6321x506080xpb4wg14y,14mm 4mm Gold Ball Nipple Bar
PB4-WG-14,2201100613659,194515110948,6321,6321x506080xpb4wg14r,14mm 4mm Gold Ball Nipple Bar
PB5-WG-12,2201100613666,194515111273,6321,6321x506080xpb5wg12w,12mm 5mm Gold Ball Nipple Bar
PB5-WG-12,2201100613673,194515111297,6321,6321x506080xpb5wg12y,12mm 5mm Gold Ball Nipple Bar
PB5-WG-12,2201100613680,194515111310,6321,6321x506080xpb5wg12r,12mm 5mm Gold Ball Nipple Bar
PB5-WG-14,2201100613697,194515111280,6321,6321x506080xpb5wg14w,14mm 5mm Gold Ball Nipple Bar
PB5-WG-14,2201100613703,194515111303,6321,6321x506080xpb5wg14y,14mm 5mm Gold Ball Nipple Bar
PB5-WG-14,2201100613710,194515111327,6321,6321x506080xpb5wg14r,14mm 5mm Gold Ball Nipple Bar
PEG3CZ-WG-12,2201100613727,194515111570,6321,6321x506080xpeg3czwg12w,12mm 3mm CZ Nipple Bar
PEG3CZ-WG-12,2201100613734,194515111594,6321,6321x506080xpeg3czwg12y,12mm 3mm CZ Nipple Bar
PEG3CZ-WG-12,2201100613741,194515111617,6321,6321x506080xpeg3czwg12r,12mm 3mm CZ Nipple Bar
PEG3CZ-WG-14,2201100613758,194515111587,6321,6321x506080xpeg3czwg14w,14mm 3mm CZ Nipple Bar
